"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","daily","daily_lower","daily_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"67",2016-03-07,388.294075103633,123.841565135162,123.841565135162,123.841565135162,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915119792,-2.56867915119792,-2.56867915119792,67.4171469787631,67.4171469787631,67.4171469787631,0,0,0,340.5192942839,686.733845853598,388.294075103633,388.294075103633,512.135640238795
"68",2016-03-08,388.546908354003,116.983102942249,116.983102942249,116.983102942249,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815592938,-8.46666815592938,-8.46666815592938,66.4566737905814,66.4566737905814,66.4566737905814,0,0,0,339.036957507692,697.056456978149,388.546908354003,388.546908354003,505.530011296252
"69",2016-03-09,388.799741604374,133.445221540085,133.445221540085,133.445221540085,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837087191,9.03659837087191,9.03659837087191,65.4155258616165,65.4155258616165,65.4155258616165,0,0,0,351.414271554877,701.453486710706,388.799741604374,388.799741604374,522.244963144459
"70",2016-03-10,389.052574854744,135.062105865066,135.062105865066,135.062105865066,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089765,11.7826176089765,11.7826176089765,64.2863909484926,64.2863909484926,64.2863909484926,0,0,0,351.95866469612,698.334308305763,389.052574854744,389.052574854744,524.11468071981
"71",2016-03-11,389.305408105114,122.291566296849,122.291566296849,122.291566296849,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004915835,0.233506004915835,0.233506004915835,63.0649629843368,63.0649629843368,63.0649629843368,0,0,0,322.97039062552,685.374891787577,389.305408105114,389.305408105114,511.596974401964
"72",2016-03-12,389.558241355485,109.556377509909,109.556377509909,109.556377509909,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813219,-11.1872100813219,-11.1872100813219,61.7504902836344,61.7504902836344,61.7504902836344,0,0,0,326.650599058653,667.541112501366,389.558241355485,389.558241355485,499.114618865394
"73",2016-03-13,389.811074605855,120.509096978341,120.509096978341,120.509096978341,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540373292,1.16983540373292,1.16983540373292,60.3461642670109,60.3461642670109,60.3461642670109,0,0,0,323.560067490756,686.033889900563,389.811074605855,389.811074605855,510.320171584196
"74",2016-03-14,390.063907856226,115.283755023037,115.283755023037,115.283755023037,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915119963,-2.56867915119963,-2.56867915119963,58.85933686664,58.85933686664,58.85933686664,0,0,0,334.953258400533,681.320471178007,390.063907856226,390.063907856226,505.347662879263
"75",2016-03-15,390.316741106596,107.827989600285,107.827989600285,107.827989600285,58.9930973075968,58.9930973075968,58.9930973075968,-8.4666681559457,-8.4666681559457,-8.4666681559457,57.301560448634,57.301560448634,57.301560448634,0,0,0,314.685824648307,660.079389742772,390.316741106596,390.316741106596,498.144730706881
"76",2016-03-16,390.569574356967,123.718145556351,123.718145556351,123.718145556351,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837087629,9.03659837087629,9.03659837087629,55.6884498778774,55.6884498778774,55.6884498778774,0,0,0,332.592800838849,699.202864448556,390.569574356967,390.569574356967,514.287719913317
