"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","holidays","holidays_lower","holidays_upper","monthly","monthly_lower","monthly_upper","New Year's Day","New Year's Day_lower","New Year's Day_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"2361",2022-06-20,31.875513446282,-98.1471967785986,-98.1471967785986,-98.1471967785986,0,0,0,-8.78638215936604,-8.78638215936604,-8.78638215936604,0,0,0,-0.346675728558937,-0.346675728558937,-0.346675728558937,-89.0141388906736,-89.0141388906736,-89.0141388906736,0,0,0,-236.252633668956,119.243738542121,-4.85006597453556,69.5856558916586,-66.2716833323165
"2362",2022-06-21,31.9114972712849,-96.7267705537809,-96.7267705537809,-96.7267705537809,0,0,0,-2.21123767695927,-2.21123767695927,-2.21123767695927,0,0,0,-7.28457253943289,-7.28457253943289,-7.28457253943289,-87.2309603373888,-87.2309603373888,-87.2309603373888,0,0,0,-245.834582990163,125.025372191121,-4.98989360944231,70.0412918419724,-64.815273282496
"2363",2022-06-22,31.9474810962878,-83.9331866168664,-83.9331866168664,-83.9331866168664,0,0,0,1.6151546965091,1.6151546965091,1.6151546965091,0,0,0,-0.0488098419209685,-0.0488098419209685,-0.0488098419209685,-85.4995314714545,-85.4995314714545,-85.4995314714545,0,0,0,-239.422554085844,125.530305354694,-5.31220199247304,70.5217812459197,-51.9857055205786
"2364",2022-06-23,31.9834649212907,-74.0912791410681,-74.0912791410681,-74.0912791410681,0,0,0,1.16981047152506,1.16981047152506,1.16981047152506,0,0,0,8.60257394051504,8.60257394051504,8.60257394051504,-83.8636635531082,-83.8636635531082,-83.8636635531082,0,0,0,-221.928265500986,138.136975971039,-5.58282192886417,70.9619238145803,-42.1078142197774
"2365",2022-06-24,32.0194487462936,-80.4231085568216,-80.4231085568216,-80.4231085568216,0,0,0,-0.238501878595399,-0.238501878595399,-0.238501878595399,0,0,0,2.17963056401208,2.17963056401208,2.17963056401208,-82.3642372422383,-82.3642372422383,-82.3642372422383,0,0,0,-235.254330565917,129.687354668674,-6.12685968616619,71.4347531177644,-48.403659810528
"2366",2022-06-25,32.0554325712965,-87.3620450431319,-87.3620450431319,-87.3620450431319,0,0,0,1.92587439091155,1.92587439091155,1.92587439091155,0,0,0,-8.24983854996942,-8.24983854996942,-8.24983854996942,-81.038080884074,-81.038080884074,-81.038080884074,0,0,0,-240.931729116561,125.329120218359,-6.70029356154289,71.9290149175785,-55.3066124718354
"2367",2022-06-26,32.0914163962993,-59.5799300349068,-59.5799300349068,-59.5799300349068,0,0,0,15.1893182535311,15.1893182535311,15.1893182535311,0,0,0,5.14769215528083,5.14769215528083,5.14769215528083,-79.9169404437186,-79.9169404437186,-79.9169404437186,0,0,0,-213.076899201886,151.622180444815,-7.04799426929148,72.333936537081,-27.4885136386074
"2368",2022-06-27,32.1274002213022,-54.5425621063951,-54.5425621063951,-54.5425621063951,0,0,0,24.8306804438798,24.8306804438798,24.8306804438798,0,0,0,-0.346675728552401,-0.346675728552401,-0.346675728552401,-79.0265668217225,-79.0265668217225,-79.0265668217225,0,0,0,-201.623490108624,162.947135184218,-7.3326817392609,72.6263862413903,-22.4151618850929
"2369",2022-06-28,32.1633840463051,-77.5372992824706,-77.5372992824706,-77.5372992824706,0,0,0,8.13321635592081,8.13321635592081,8.13321635592081,0,0,0,-7.2845725394227,-7.2845725394227,-7.2845725394227,-78.3859430989687,-78.3859430989687,-78.3859430989687,0,0,0,-213.358258422503,136.354803192222,-7.60087854696822,72.5921089346101,-45.3739152361655
"2370",2022-06-29,32.199367871308,-71.0404712456156,-71.0404712456156,-71.0404712456156,0,0,0,7.01500913941381,7.01500913941381,7.01500913941381,0,0,0,-0.0488098418890872,-0.0488098418890872,-0.0488098418890872,-78.0066705431403,-78.0066705431403,-78.0066705431403,0,0,0,-232.538837269347,139.256230958281,-8.04236690893172,72.7145171458447,-38.8411033743077
"2371",2022-06-30,32.2353516963108,-45.2839297451432,-45.2839297451432,-45.2839297451432,0,0,0,24.0060243843804,24.0060243843804,24.0060243843804,0,0,0,8.60257394051188,8.60257394051188,8.60257394051188,-77.8925280700354,-77.8925280700354,-77.8925280700354,0,0,0,-192.48473266323,171.165590895889,-8.3630245435794,73.0285656176701,-13.0485780488324
"2372",2022-07-01,32.2713355213137,-59.2460130106853,-59.2460130106853,-59.2460130106853,0,0,0,16.6135718333638,16.6135718333638,16.6135718333638,0,0,0,2.1796305640042,2.1796305640042,2.1796305640042,-78.0392154080533,-78.0392154080533,-78.0392154080533,0,0,0,-211.516609758855,154.188551589452,-8.65380509774226,73.4154835805002,-26.9746774893716
"2373",2022-07-02,32.3073193463166,-77.111730750366,-77.111730750366,-77.111730750366,0,0,0,9.57239338695251,9.57239338695251,9.57239338695251,0,0,0,-8.24983854996711,-8.24983854996711,-8.24983854996711,-78.4342855873514,-78.4342855873514,-78.4342855873514,0,0,0,-226.698806794271,140.471176361422,-8.91334960672439,73.8971284628935,-44.8044114040494
"2374",2022-07-03,32.3433031713195,-55.0192376884671,-55.0192376884671,-55.0192376884671,0,0,0,18.8903378483225,18.8903378483225,18.8903378483225,0,0,0,5.14769215528045,5.14769215528045,5.14769215528045,-79.05726769207,-79.05726769207,-79.05726769207,0,0,0,-204.087384034127,159.141555094646,-9.17289411570648,74.2842208962113,-22.6759345171476
"2375",2022-07-04,32.3792869963224,-60.4835586577806,-60.4835586577806,-60.4835586577806,0,0,0,19.7430932685899,19.7430932685899,19.7430932685899,0,0,0,-0.346675728568916,-0.346675728568916,-0.346675728568916,-79.8799761978015,-79.8799761978015,-79.8799761978015,0,0,0,-199.913448166148,174.619777278591,-9.67370233657928,74.6672645992899,-28.1042716614582
"2376",2022-07-05,32.4152708213253,-81.4959754086664,-81.4959754086664,-81.4959754086664,0,0,0,6.65559591795095,6.65559591795095,6.65559591795095,0,0,0,-7.28457253944408,-7.28457253944408,-7.28457253944408,-80.8669987871733,-80.8669987871733,-80.8669987871733,0,0,0,-231.164649751392,141.44703427723,-10.0302013938586,74.9703331660501,-49.0807045873411
"2377",2022-07-06,32.4512546463281,-79.6911011125612,-79.6911011125612,-79.6911011125612,0,0,0,2.33405913376499,2.33405913376499,2.33405913376499,0,0,0,-0.0488098418910638,-0.0488098418910638,-0.0488098418910638,-81.9763504044351,-81.9763504044351,-81.9763504044351,0,0,0,-247.760495340178,133.88463187912,-10.3563590779909,75.2734017328102,-47.2398464662331
"2378",2022-07-07,32.487238471331,-78.0121631640446,-78.0121631640446,-78.0121631640446,0,0,0,-3.45445953001208,-3.45445953001208,-3.45445953001208,0,0,0,8.60257394052321,8.60257394052321,8.60257394052321,-83.1602775745557,-83.1602775745557,-83.1602775745557,0,0,0,-228.434164597649,139.212706514054,-10.6760818472666,75.5697416822919,-45.5249246927136
"2379",2022-07-08,32.5232222963339,-101.829001518426,-101.829001518426,-101.829001518426,0,0,0,-19.6424383212247,-19.6424383212247,-19.6424383212247,0,0,0,2.17963056399632,2.17963056399632,2.17963056399632,-84.3661937611981,-84.3661937611981,-84.3661937611981,0,0,0,-262.915433631808,111.041178174463,-10.9958046165422,75.992874677704,-69.3057792220926
"2380",2022-07-09,32.5592061213368,-102.968294278137,-102.968294278137,-102.968294278137,0,0,0,-9.1807318887995,-9.1807318887995,-9.1807318887995,0,0,0,-8.24983854996224,-8.24983854996224,-8.24983854996224,-85.5377238393756,-85.5377238393756,-85.5377238393756,0,0,0,-247.170864664409,117.077640879192,-11.315527385818,76.3924949362837,-70.4090881568006
